id,sqm,room,type,price,price_sqm,description,agency,url,region,date
30477505,27,2,,22.7,840741,,Saját hirdetés,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet/30477505,"Lipótváros, V. kerület",2019-10-21
30301385,27,1,,22.8,844444,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+szent+istvan+korut/30301385,"Szent István körút, V. kerület",2019-10-21
30407710,26,1,,26.4,1015385,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet/30407710,"Lipótváros, V. kerület",2019-10-21
29700953,26,1,,26.4,1015385,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+kalman+imre+utca+21/29700953,"Kálmán Imre utca 21, V. kerület",2019-10-21
29993006,26,1,,29.9,1150000,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+papnovelde+utca/29993006,"Papnövelde utca, V. kerület",2019-10-21
30009773,26,1,,29.9,1150000,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+papnovelde+utca+8/30009773,"Papnövelde utca 8, V. kerület",2019-10-21
29904638,31,1,,31.9,1029032,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+semmelweis+utca+23/29904638,"Semmelweis utca 23., V. kerület",2019-10-21
30196820,31,1,,32.9,1061290,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+semmelweis+utca/30196820,"Semmelweis utca, V. kerület",2019-10-21
30175205,31,1,,32.9,1061290,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+semmelweis+utca/30175205,"Semmelweis utca, V. kerület",2019-10-21
30343508,31,1,,34.9,1125807,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet/30343508,"Belváros, V. kerület",2019-10-21
28740800,27,1,,38.9,1440741,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+jozsef+nador+ter/28740800,"József nádor tér, V. kerület",2019-10-21
29667371,27,1,,38.9,1440741,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+jozsef+nador+ter/29667371,"József nádor tér, V. kerület",2019-10-21
30495679,27,1,,38.9,1440741,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+jozsef+nador+ter/30495679,"József nádor tér, V. kerület",2019-10-21
30008339,27,1,,38.9,1440741,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+jozsef+nador+ter/30008339,"József nádor tér, V. kerület",2019-10-21
29692448,27,1,,38.9,1440741,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+jozsef+nador+ter/29692448,"József nádor tér, V. kerület",2019-10-21
30301421,33,1,,42.9,1300000,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+veres+palne+utca/30301421,"Veres Pálné utca, V. kerület",2019-10-21
29809211,33,1,,42.9,1243478,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+veres+palne+utca/29809211,"Veres Pálné utca, V. kerület",2019-10-21
30458953,28,1,,45,1607143,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet/30458953,"Lipótváros, V. kerület",2019-10-21
30089369,28,1,,45,1607143,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet/30089369,"Lipótváros, V. kerület",2019-10-21
30063026,28,1,,45,1607143,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet/30063026,"Lipótváros, V. kerület",2019-10-21
30061712,28,1,,45,1607143,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+garibaldi+utca/30061712,"Garibaldi utca, V. kerület",2019-10-21
30051671,28,1,,45,1607143,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet/30051671,"Lipótváros, V. kerület",2019-10-21
28882784,32,1,,49.9,1535385,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+karoly+korut/28882784,"Károly körút, V. kerület",2019-10-21
30115895,32,1,,49.9,1535385,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet/30115895,"Belváros, V. kerület",2019-10-21
28843394,32,1,,49.9,1559375,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet+karoly+korut/28843394,"Károly körút, V. kerület",2019-10-21
28547840,32,1,,49.9,1535385,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet/28547840,"Belváros, V. kerület",2019-10-21
28442012,32,1,,49.9,1535385,,,https://ingatlan.com/v-ker/elado+lakas/tegla-epitesu-lakas/budapest+5+kerulet/28442012,"Belváros, V. kerület",2019-10-21
